,study_id,site_id,field_size,yield,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others
336,Christof_Schuepp_Prunus_avium_Switzerland_2011,18,0.001,18.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0
337,Christof_Schuepp_Prunus_avium_Switzerland_2011,19,0.001,24.14772727,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,150.0,25.0,0.0,0.0,0.0
338,Christof_Schuepp_Prunus_avium_Switzerland_2011,20,0.001,44.44444444,15.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,428.5714285714,0.0,0.0,28.5714285714,0.0,0.0,171.4285714286,200.0,0.0,0.0,28.5714285714
339,Christof_Schuepp_Prunus_avium_Switzerland_2011,21,0.001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
340,Christof_Schuepp_Prunus_avium_Switzerland_2011,22,0.001,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,228.5714285714,0.0,0.0,0.0,0.0,0.0,85.7142857143,0.0,0.0,142.8571428571,0.0
341,Christof_Schuepp_Prunus_avium_Switzerland_2011,23,0.001,58.63095238,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0
342,Christof_Schuepp_Prunus_avium_Switzerland_2011,24,0.001,68.75,6.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,150.0,0.0,0.0,25.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0
343,Christof_Schuepp_Prunus_avium_Switzerland_2011,25,0.001,77.5,9.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,225.0,0.0,0.0,75.0,50.0,0.0,75.0,0.0,0.0,25.0,0.0
344,Christof_Schuepp_Prunus_avium_Switzerland_2011,26,0.001,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Christof_Schuepp_Prunus_avium_Switzerland_2011,27,0.001,30.95238095,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Christof_Schuepp_Prunus_avium_Switzerland_2011,29,0.001,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.6666666667,0.0,0.0,0.0,0.0,0.0,33.3333333333,0.0,0.0,33.3333333333,0.0
347,Christof_Schuepp_Prunus_avium_Switzerland_2011,30,0.001,52.5,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,160.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0
